index,panel,dimensions,p,p_form,fraction,method,mean,std,count
68,2,200,0.05,0.15,0.9,Cross-Entropy,98.7333276472143,1.306357819011845,100
69,2,200,0.05,0.15,0.9,DBSCAN,50.0,0.0,100
70,2,200,0.05,0.15,0.9,GMM,59.62990047750502,7.52038307862939,100
71,2,200,0.05,0.15,0.9,K-means,87.07263756225353,4.831487160264307,100
72,3,200,0.01,0.11,0.1,Cross-Entropy,67.46659931926801,7.407350283890224,100
73,3,200,0.01,0.11,0.1,DBSCAN,53.812430669933946,2.727495756439553,100
74,3,200,0.01,0.11,0.1,GMM,57.92431935134603,4.791422308824824,100
75,3,200,0.01,0.11,0.1,K-means,67.52360024217398,4.833659810538884,100
76,3,200,0.01,0.11,0.2,Cross-Entropy,84.63398474105341,4.258204559345237,100
77,3,200,0.01,0.11,0.2,DBSCAN,55.19267770225975,2.775862479050231,100
78,3,200,0.01,0.11,0.2,GMM,59.694918151682124,7.153729987321119,100
79,3,200,0.01,0.11,0.2,K-means,73.9168123545392,6.513787752754415,100
80,3,200,0.01,0.11,0.3,Cross-Entropy,92.23013751081855,3.2766601517229628,100
81,3,200,0.01,0.11,0.3,DBSCAN,54.17600664159664,3.473189142726573,100
82,3,200,0.01,0.11,0.3,GMM,61.31459043124654,8.392817120547337,100
83,3,200,0.01,0.11,0.3,K-means,77.7923244842449,5.374069786189087,100
84,3,200,0.01,0.11,0.4,Cross-Entropy,96.03265662465003,1.9761169997761197,100
85,3,200,0.01,0.11,0.4,DBSCAN,54.83697937266218,3.1925935376495085,100
86,3,200,0.01,0.11,0.4,GMM,59.07428703165714,6.842632669154668,100
87,3,200,0.01,0.11,0.4,K-means,80.99235043132109,4.761597624226315,100
88,3,200,0.01,0.11,0.5,Cross-Entropy,97.90182570267703,1.6403816955982453,100
89,3,200,0.01,0.11,0.5,DBSCAN,54.06276525085494,3.3381945301671156,100
90,3,200,0.01,0.11,0.5,GMM,59.90560352911807,8.07977725675777,100
91,3,200,0.01,0.11,0.5,K-means,82.23427779594867,4.8788508177457,100
92,3,200,0.01,0.11,0.6,Cross-Entropy,99.23587987703831,0.9453023605724112,100
93,3,200,0.01,0.11,0.6,DBSCAN,55.18643538422413,2.952646464707053,100
94,3,200,0.01,0.11,0.6,GMM,58.95106460152084,7.184816446323896,100
95,3,200,0.01,0.11,0.6,K-means,84.53120682107775,4.8461803922814575,100
96,3,200,0.01,0.11,0.7,Cross-Entropy,99.69261546239115,0.641455777910771,100
97,3,200,0.01,0.11,0.7,DBSCAN,54.39782790905567,3.4161712719082447,100
98,3,200,0.01,0.11,0.7,GMM,57.103476895203165,5.307859587139458,100
99,3,200,0.01,0.11,0.7,K-means,85.8030737225512,5.363267972588544,100
100,3,200,0.01,0.11,0.8,Cross-Entropy,99.82175687315252,0.4310838505293441,100
101,3,200,0.01,0.11,0.8,DBSCAN,54.63995087519867,3.196926978088988,100
102,3,200,0.01,0.11,0.8,GMM,57.36295773195443,5.965652022693716,100
103,3,200,0.01,0.11,0.8,K-means,86.39688061392019,4.699951818535529,100
104,3,200,0.01,0.11,0.9,Cross-Entropy,99.93049014704903,0.2916218859602296,100
105,3,200,0.01,0.11,0.9,DBSCAN,54.26269880562582,3.273317248017749,100
106,3,200,0.01,0.11,0.9,GMM,58.72137157159942,8.260595701184402,100
107,3,200,0.01,0.11,0.9,K-means,86.99726607093189,4.560025375754513,100
108,4,50,0.1,0.2,0.1,Cross-Entropy,55.33656441314438,3.751989163325386,100
109,4,50,0.1,0.2,0.1,DBSCAN,50.0,0.0,100
110,4,50,0.1,0.2,0.1,GMM,55.13572887615585,3.5553975310023436,100
111,4,50,0.1,0.2,0.1,K-means,56.59779608174676,4.633050261242446,100
112,4,50,0.1,0.2,0.2,Cross-Entropy,56.37347031104727,3.8087937416878503,100
113,4,50,0.1,0.2,0.2,DBSCAN,50.0,0.0,100
114,4,50,0.1,0.2,0.2,GMM,56.17319245814384,4.1929332953072915,100
115,4,50,0.1,0.2,0.2,K-means,58.96114269597128,4.509495932819386,100
116,4,50,0.1,0.2,0.3,Cross-Entropy,57.93433538725636,5.7416537276848825,100
117,4,50,0.1,0.2,0.3,DBSCAN,50.0,0.0,100
118,4,50,0.1,0.2,0.3,GMM,57.7938120125996,5.049584536501836,100
119,4,50,0.1,0.2,0.3,K-means,59.60883688361479,5.767224587671961,100
120,4,50,0.1,0.2,0.4,Cross-Entropy,59.08255722106284,6.944885911341153,100
121,4,50,0.1,0.2,0.4,DBSCAN,50.0,0.0,100
122,4,50,0.1,0.2,0.4,GMM,57.64854737939988,4.812933519158637,100
123,4,50,0.1,0.2,0.4,K-means,61.86034285312499,5.933955646380022,100
124,4,50,0.1,0.2,0.5,Cross-Entropy,61.400901531940505,7.741193831051288,100
125,4,50,0.1,0.2,0.5,DBSCAN,50.0,0.0,100
126,4,50,0.1,0.2,0.5,GMM,58.48395159984723,5.248572361246795,100
127,4,50,0.1,0.2,0.5,K-means,63.06992349042117,5.926502616875884,100
128,4,50,0.1,0.2,0.6,Cross-Entropy,64.21623088563071,8.592741484205481,100
129,4,50,0.1,0.2,0.6,DBSCAN,50.0,0.0,100
130,4,50,0.1,0.2,0.6,GMM,58.85390563406308,5.166539210491518,100
131,4,50,0.1,0.2,0.6,K-means,63.52882497975724,6.052654665683283,100
132,4,50,0.1,0.2,0.7,Cross-Entropy,67.78036097070166,9.148684494317886,100
133,4,50,0.1,0.2,0.7,DBSCAN,50.0,0.0,100
134,4,50,0.1,0.2,0.7,GMM,60.388740443366,6.489038535622183,100
135,4,50,0.1,0.2,0.7,K-means,65.08289441150383,6.64095174659214,100
136,4,50,0.1,0.2,0.8,Cross-Entropy,72.3140632194,9.389482884612702,100
137,4,50,0.1,0.2,0.8,DBSCAN,50.0,0.0,100
138,4,50,0.1,0.2,0.8,GMM,59.96472356057292,6.014812085446056,100
139,4,50,0.1,0.2,0.8,K-means,68.4882745026478,5.764382038839816,100
140,4,50,0.1,0.2,0.9,Cross-Entropy,74.36720040576209,8.845039954116968,100
