Book,Chapter,Verse,P,Pg,Ps
Exodus,30,20,1,0,0

Exodus,30,21,1,0,0

Exodus,30,22,1,0,0

Exodus,30,23,1,0,0

Exodus,30,24,1,0,0

Exodus,30,25,1,0,0

Exodus,30,26,1,0,0

Exodus,30,27,1,0,0

Exodus,30,28,1,0,0

Exodus,30,29,1,0,0

Exodus,30,30,1,0,0

Exodus,30,31,1,0,0

Exodus,30,32,1,0,0

Exodus,30,33,1,0,0

Exodus,30,34,1,0,0

Exodus,30,35,1,0,0

Exodus,30,36,1,0,0

Exodus,30,37,1,0,0

Exodus,30,38,1,0,0

Exodus,31,1,1,0,0

Exodus,31,2,1,0,0

Exodus,31,3,1,0,0

Exodus,31,4,1,0,0

Exodus,31,5,1,0,0

Exodus,31,6,1,0,0

Exodus,31,7,1,0,0

Exodus,31,8,1,0,0

Exodus,31,9,1,0,0

Exodus,31,10,1,0,0

Exodus,31,11,1,0,0

Exodus,31,12,1,0,0

Exodus,31,13,1,0,0

Exodus,31,14,1,0,0

Exodus,31,15,1,0,0

Exodus,31,16,1,0,0

Exodus,31,17,1,0,0

Exodus,31,18,1,1,0

Exodus,32,1,0,0,0

Exodus,32,2,0,0,0

Exodus,32,3,0,0,0

Exodus,32,4,0,0,0

Exodus,32,5,0,0,0

Exodus,32,6,0,0,0

Exodus,32,7,0,0,0

Exodus,32,8,0,0,0

Exodus,32,9,0,0,0

Exodus,32,10,0,0,0

Exodus,32,11,0,0,0

