Book,Chapter,Verse,P,Pg,Ps
Exodus,8,17,0,0,0

Exodus,8,18,0,0,0

Exodus,8,19,0,0,0

Exodus,8,20,0,0,0

Exodus,8,21,0,0,0

Exodus,8,22,0,0,0

Exodus,8,23,0,0,0

Exodus,8,24,0,0,0

Exodus,8,25,0,0,0

Exodus,8,26,0,0,0

Exodus,8,27,0,0,0

Exodus,8,28,0,0,0

Exodus,9,1,0,0,0

Exodus,9,2,0,0,0

Exodus,9,3,0,0,0

Exodus,9,4,0,0,0

Exodus,9,5,0,0,0

Exodus,9,6,0,0,0

Exodus,9,7,0,0,0

Exodus,9,8,1,1,0

Exodus,9,9,1,1,0

Exodus,9,10,1,1,0

Exodus,9,11,1,1,0

Exodus,9,12,1,1,0

Exodus,9,13,0,0,0

Exodus,9,14,0,0,0

Exodus,9,15,0,0,0

Exodus,9,16,0,0,0

Exodus,9,17,0,0,0

Exodus,9,18,0,0,0

Exodus,9,19,0,0,0

Exodus,9,20,0,0,0

Exodus,9,21,0,0,0

Exodus,9,22,0,0,0

Exodus,9,23,0,0,0

Exodus,9,24,0,0,0

Exodus,9,25,0,0,0

Exodus,9,26,0,0,0

Exodus,9,27,0,0,0

Exodus,9,28,0,0,0

Exodus,9,29,0,0,0

Exodus,9,30,0,0,0

Exodus,9,31,0,0,0

Exodus,9,32,0,0,0

Exodus,9,33,0,0,0

Exodus,9,34,0,0,0

Exodus,9,35,0,0,0

Exodus,10,1,0,0,0

Exodus,10,2,0,0,0

Exodus,10,3,0,0,0

Exodus,10,4,0,0,0

Exodus,10,5,0,0,0

Exodus,10,6,0,0,0

Exodus,10,7,0,0,0

Exodus,10,8,0,0,0

Exodus,10,9,0,0,0

Exodus,10,10,0,0,0

Exodus,10,11,0,0,0

Exodus,10,12,0,0,0

Exodus,10,13,0,0,0

Exodus,10,14,0,0,0

Exodus,10,15,0,0,0

Exodus,10,16,0,0,0

Exodus,10,17,0,0,0

Exodus,10,18,0,0,0

Exodus,10,19,0,0,0

Exodus,10,20,0,0,0

Exodus,10,21,0,0,0

Exodus,10,22,0,0,0

Exodus,10,23,0,0,0

Exodus,10,24,0,0,0

Exodus,10,25,0,0,0

Exodus,10,26,0,0,0

Exodus,10,27,0,0,0

Exodus,10,28,0,0,0

Exodus,10,29,0,0,0

Exodus,11,1,0,0,0

Exodus,11,2,0,0,0

Exodus,11,3,0,0,0

Exodus,11,4,0,0,0

Exodus,11,5,0,0,0

Exodus,11,6,0,0,0

Exodus,11,7,0,0,0

Exodus,11,8,0,0,0

Exodus,11,9,1,0,0

Exodus,11,10,1,0,0

Exodus,12,1,1,1,0

Exodus,12,2,1,0,0

Exodus,12,3,1,1,0

Exodus,12,4,1,1,0

Exodus,12,5,1,1,0

Exodus,12,6,1,1,0

Exodus,12,7,1,1,0

Exodus,12,8,1,1,0

Exodus,12,9,1,1,0

Exodus,12,10,1,1,0

Exodus,12,11,1,1,0

Exodus,12,12,1,1,0

Exodus,12,13,1,1,0

Exodus,12,14,1,1,0

Exodus,12,15,0,0,0

Exodus,12,16,0,0,0

Exodus,12,17,0,0,0

Exodus,12,18,0,0,0

Exodus,12,19,0,0,0

Exodus,12,20,0,0,0

Exodus,12,21,0,0,0

Exodus,12,22,0,0,0

Exodus,12,23,0,0,0

Exodus,12,24,0,0,0

Exodus,12,25,0,0,0

Exodus,12,26,0,0,0

Exodus,12,27,0,0,0

Exodus,12,28,1,1,0

Exodus,12,29,0,0,0

Exodus,12,30,0,0,0

Exodus,12,31,0,0,0

Exodus,12,32,0,0,0

Exodus,12,33,0,0,0

Exodus,12,34,0,0,0

Exodus,12,35,0,0,0

Exodus,12,36,0,0,0

Exodus,12,37,0,0,0

Exodus,12,38,0,0,0

Exodus,12,39,0,0,0

Exodus,12,40,1,1,0

Exodus,12,41,1,1,0

Exodus,12,42,0,0,0

Exodus,12,43,1,0,0

Exodus,12,44,1,0,0

Exodus,12,45,1,0,0

Exodus,12,46,1,0,0

Exodus,12,47,1,0,0

Exodus,12,48,1,0,0

Exodus,12,49,1,0,0

Exodus,12,50,1,0,0

Exodus,12,51,1,0,0

Exodus,13,1,0,0,0

Exodus,13,2,0,0,0

Exodus,13,3,0,0,0

Exodus,13,4,0,0,0

Exodus,13,5,0,0,0

Exodus,13,6,0,0,0

Exodus,13,7,0,0,0

Exodus,13,8,0,0,0

Exodus,13,9,0,0,0

Exodus,13,10,0,0,0

Exodus,13,11,0,0,0

Exodus,13,12,0,0,0

Exodus,13,13,0,0,0

Exodus,13,14,0,0,0

Exodus,13,15,0,0,0

Exodus,13,16,0,0,0

Exodus,13,17,0,0,0

Exodus,13,18,0,0,0

Exodus,13,19,0,0,0

Exodus,13,20,0,0,0

Exodus,13,21,0,0,0

Exodus,13,22,0,0,0

Exodus,14,1,1,1,0

Exodus,14,2,1,1,0

Exodus,14,3,1,1,0

Exodus,14,4,1,1,0

Exodus,14,5,0,0,0

Exodus,14,6,0,0,0

Exodus,14,7,0,0,0

Exodus,14,8,0,0,0

Exodus,14,9,0,0,0

Exodus,14,10,0,0,0

Exodus,14,11,0,0,0

Exodus,14,12,0,0,0

Exodus,14,13,0,0,0

Exodus,14,14,0,0,0

Exodus,14,15,1,1,0

Exodus,14,16,1,1,0

Exodus,14,17,1,1,0

Exodus,14,18,1,1,0

Exodus,14,19,0,0,0

Exodus,14,20,0,0,0

Exodus,14,21,0,0,0

Exodus,14,22,1,1,0

Exodus,14,23,1,1,0

Exodus,14,24,0,0,0

Exodus,14,25,0,0,0

Exodus,14,26,1,1,0

Exodus,14,27,0,0,0

Exodus,14,28,1,1,0

Exodus,14,29,1,1,0

Exodus,14,30,0,0,0

Exodus,14,31,0,0,0

Exodus,15,1,0,0,0

Exodus,15,2,0,0,0

Exodus,15,3,0,0,0

Exodus,15,4,0,0,0

Exodus,15,5,0,0,0

Exodus,15,6,0,0,0

Exodus,15,7,0,0,0

Exodus,15,8,0,0,0

Exodus,15,9,0,0,0

Exodus,15,10,0,0,0

Exodus,15,11,0,0,0

Exodus,15,12,0,0,0

Exodus,15,13,0,0,0

Exodus,15,14,0,0,0

Exodus,15,15,0,0,0

Exodus,15,16,0,0,0

Exodus,15,17,0,0,0

Exodus,15,18,0,0,0

Exodus,15,19,0,0,0

Exodus,15,20,0,0,0

Exodus,15,21,0,0,0

Exodus,15,22,0,0,0

Exodus,15,23,0,0,0

Exodus,15,24,0,0,0

Exodus,15,25,0,0,0

Exodus,15,26,0,0,0

Exodus,15,27,1,1,0

Exodus,16,1,1,1,0

Exodus,16,2,1,1,0

Exodus,16,3,1,1,0

Exodus,16,4,0,0,0

Exodus,16,5,0,0,0

Exodus,16,6,1,1,0

Exodus,16,7,1,1,0

Exodus,16,8,1,0,0

Exodus,16,9,1,1,0

Exodus,16,10,1,1,0

Exodus,16,11,1,1,0

Exodus,16,12,1,1,0

Exodus,16,13,1,1,0

Exodus,16,14,1,1,0

Exodus,16,15,1,1,0

Exodus,16,16,1,1,0

Exodus,16,17,1,1,0

Exodus,16,18,1,1,0

Exodus,16,19,1,1,0

Exodus,16,20,1,1,0

Exodus,16,21,1,1,0

Exodus,16,22,1,1,0

Exodus,16,23,1,1,0

Exodus,16,24,1,1,0

Exodus,16,25,1,1,0

Exodus,16,26,1,1,0

Exodus,16,27,0,0,0

Exodus,16,28,0,0,0

Exodus,16,29,0,0,0

Exodus,16,30,0,0,0

Exodus,16,31,0,0,0

Exodus,16,32,1,1,0

Exodus,16,33,1,1,0

Exodus,16,34,1,1,0

Exodus,16,35,0,0,0

Exodus,16,36,0,0,0

Exodus,17,1,0,0,0

Exodus,17,2,0,0,0

Exodus,17,3,0,0,0

Exodus,17,4,0,0,0

Exodus,17,5,0,0,0

Exodus,17,6,0,0,0

Exodus,17,7,0,0,0

Exodus,17,8,0,0,0

Exodus,17,9,0,0,0

Exodus,17,10,0,0,0

Exodus,17,11,0,0,0

Exodus,17,12,0,0,0

Exodus,17,13,0,0,0

Exodus,17,14,0,0,0

Exodus,17,15,0,0,0

Exodus,17,16,0,0,0

Exodus,18,1,0,0,0

Exodus,18,2,0,0,0

Exodus,18,3,0,0,0

Exodus,18,4,0,0,0

Exodus,18,5,0,0,0

Exodus,18,6,0,0,0

Exodus,18,7,0,0,0

Exodus,18,8,0,0,0

Exodus,18,9,0,0,0

Exodus,18,10,0,0,0

Exodus,18,11,0,0,0

Exodus,18,12,0,0,0

Exodus,18,13,0,0,0

Exodus,18,14,0,0,0

Exodus,18,15,0,0,0

Exodus,18,16,0,0,0

Exodus,18,17,0,0,0

Exodus,18,18,0,0,0

Exodus,18,19,0,0,0

Exodus,18,20,0,0,0

Exodus,18,21,0,0,0

Exodus,18,22,0,0,0

Exodus,18,23,0,0,0

Exodus,18,24,0,0,0

Exodus,18,25,0,0,0

Exodus,18,26,0,0,0

Exodus,18,27,0,0,0

Exodus,19,1,1,1,0

Exodus,19,2,0,0,0

Exodus,19,3,0,0,0

Exodus,19,4,0,0,0

Exodus,19,5,0,0,0

Exodus,19,6,0,0,0

Exodus,19,7,0,0,0

Exodus,19,8,0,0,0

Exodus,19,9,0,0,0

Exodus,19,10,0,0,0

Exodus,19,11,0,0,0

Exodus,19,12,0,0,0

Exodus,19,13,0,0,0

Exodus,19,14,0,0,0

Exodus,19,15,0,0,0

Exodus,19,16,0,0,0

Exodus,19,17,0,0,0

Exodus,19,18,0,0,0

